id,gender,religion,educ,income,space_housing,own_housing,height,health,use_internet,fairness,opinion_homosex,manda_speak,educ_fath,educ_moth,food_exp,education_exp,health_exp,educ_parent,married,race,age,weight,party,happiness
2,0,1,9,70000,58,0,160,3,5,2,3,4,1,1,20000,0,1000,1,1,0,61,73,0,3
3,1,1,11,50000,20,0,160,3,5,2,1,5,7,7,10000,0,500,7,1,0,29,75,0,4
4,0,1,3,10000,10,0,170,5,1,4,1,2,1,1,NA,NA,NA,1,0,0,68,70,0,4
5,0,1,6,60000,64,0,174,3,4,4,1,4,11,7,NA,NA,NA,9,1,0,59,66,1,4
8,1,1,12,2000,56,0,166,3,5,3,5,4,8,10,NA,NA,NA,9,0,0,22,55,1,4
9,1,1,12,0,139,0,163,5,5,2,1,3,4,3,36000,160000,10000,3.5,0,0,37,75,0,4
10,1,1,12,150000,60,0,160,4,5,2,3,5,4,4,NA,NA,NA,4,1,0,30,35,0,4
11,0,0,4,40000,30,0,168,3,4,3,2,3,3,1,9999998,9999998,20000,2,1,1,37,35,1,4
12,0,1,10,100000,56,0,173,5,5,4,1,4,4,1,9999998,20000,0,2.5,1,0,38,90,1,4
15,0,1,12,120000,47,1,170,5,5,4,1,5,4,3,NA,NA,NA,3.5,1,0,38,75,1,4
16,1,1,6,20000,40,0,157,2,4,1,1,4,5,5,NA,NA,NA,5,1,0,56,71,0,4
18,0,0,4,0,50,1,175,3,3,4,1,5,2,1,NA,NA,NA,1.5,0,0,81,77.5,0,4
23,1,1,12,100000,90,0,156,4,4,4,5,5,3,3,NA,NA,NA,3,0,0,26,54,1,4
25,0,0,6,100000,45,0,170,4,5,4,1,3,3,1,NA,NA,NA,2,1,0,41,72,0,5
26,0,1,6,30000,21,0,178,3,4,3,1,5,3,2,NA,NA,NA,2.5,1,0,53,73,0,4
27,0,1,12,90000,10,0,170,5,5,3,3,5,4,6,NA,NA,NA,5,0,0,33,65,0,4
28,1,1,9,50000,20,0,160,4,4,2,1,5,4,3,NA,NA,NA,3.5,0,0,50,60,0,4
29,1,1,12,200000,50,0,168,4,5,4,1,5,6,6,NA,NA,NA,6,0,0,29,55,0,4
30,0,0,10,200000,98,1,178,4,4,2,3,5,14,3,NA,NA,NA,8.5,1,0,64,72,0,4
31,0,1,7,100000,70,0,178,4,5,2,2,5,12,4,NA,NA,NA,8,0,0,23,60,0,5
32,0,1,7,45000,120,0,171,3,5,4,2,2,3,4,20000,0,10000,3.5,1,0,31,70,0,4
33,1,0,6,36000,11,1,158,4,1,1,1,4,3,1,NA,NA,NA,2,1,1,59,67.5,0,4
34,0,1,4,0,16,0,175,5,3,1,1,4,1,1,NA,NA,NA,1,1,0,44,60,0,4
35,1,1,10,100000,80,0,158,3,5,2,1,5,6,6,9999998,9999998,9999998,6,1,0,30,65,1,5
