Program,PriorExp,Rexperience,OperatingSystem,TVhours,Editor
MISM,Extensive experience,Basic competence,Windows,none,Microsoft Word
PPm,Some experience,Never used,Windows,3.5,Microsoft Word
PPM,Some experience,Basic competence,Mac OS X,30,Microsoft Word
Other,Some experience,Basic competence,Mac OS X,6,Microsoft Excel
other,Some experience,Basic competence,Mac OS X,twenty,LaTeX
PPM,Never programmed before,Never used,Windows,15ish,Microsoft Word
other,Some experience,Installed on machine,Windows,6,Microsoft Word
Other,Some experience,Basic competence,Mac OS X,8,Microsoft Word
ppM,Extensive experience,Installed on machine,Windows,10 or so,Microsoft Word
MISM,Extensive experience,Never used,Windows,0,Microsoft Word
MISM,Some experience,Never used,Windows,4,Microsoft Word
MISM,Extensive experience,Installed on machine,Mac OS X,0,Microsoft Word
PPM,Some experience,Never used,Windows,0,Microsoft Word
MISM,Some experience,Installed on machine,Windows,2,Microsoft Word
MISM,Some experience,Never used,Windows,24 counting movies,Microsoft Word
MISM,Some experience,Never used,Mac OS X,10,Microsoft Word
MISM,Some experience,Installed on machine,Windows,25,Microsoft Word
ppm,Some experience,Never used,Windows,0,Microsoft Word
mism,Some experience,Never used,Windows,0,Microsoft Word
MISM,Some experience,Installed on machine,Windows,10,Microsoft Word
Other,Never programmed before,Never used,Mac OS X,5,Microsoft Word
Other,Never programmed before,Never used,Mac OS X,35,Microsoft Word
Other,Some experience,Never used,Windows,2.5,Microsoft Word
Other,Never programmed before,Never used,Windows,2,Microsoft Word
PPM,Some experience,Never used,Mac OS X,5,Microsoft Word
mISM,Some experience,Never used,Windows,zero,Microsoft Word
MISM,Some experience,Basic competence,Mac OS X,0,LaTeX
MISM,Some experience,Basic competence,Mac OS X,0,LaTeX
mism,Some experience,Installed on machine,Windows,10ish,Microsoft Word
MIsM,Some experience,Never used,Windows,5,Microsoft Word
MISM,Extensive experience,Basic competence,Mac OS X,40,Microsoft Word
mISM,Some experience,Never used,Mac OS X,10,Microsoft Word
MISM,Some experience,Installed on machine,Mac OS X,0,Microsoft Word
ppm,Some experience,Installed on machine,Windows,20,Microsoft Word
MISM,Some experience,Basic competence,Mac OS X,0,LaTeX
PPM,Never programmed before,Installed on machine,Mac OS X,6,Microsoft Word
mism,Extensive experience,Basic competence,Windows,2,LaTeX
other,Never programmed before,Never used,Mac OS X,10,Microsoft Word
Other,Some experience,Basic competence,Windows,10,LaTeX
MISM,Extensive experience,Installed on machine,Mac OS X,7,Microsoft Word
